finding_url,repository,repository_url,title,description,severity,status,detected_at,committed_at,author_email,assignee_name,assignee_email,has_patch,configured_scan_id,commit_hash,relevant_paths,resolution_reason
https://chatgpt.com/codex/cloud/security/findings/6c6868a5a51481918710b5c0a6401801,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,rshell start exposes unauthenticated tcpctl root command port,"The v100 rshell command is presented as a token-authenticated remote shell on port 2326. However, rshell_start_service() checks whether NCM is present and, if not, calls a90_netservice_start(). That function does more than configure USB NCM: it also spawns a90_tcpctl on port 2325. a90_tcpctl binds to INADDR_ANY and its protocol has no authentication step; clients can immediately issue run <absolute-path> [args...] and the service execve()s that program as the native init/root environment. Therefore an attacker who can reach the USB NCM network can ignore the rshell token entirely and connect to tcpctl port 2325 for unauthenticated root command execution whenever an operator starts/enables rshell. This is introduced by the new rshell integration path, even though tcpctl itself pre-existed.",high,new,2026-05-04T10:30:58.912130Z,2026-05-03 23:23:18 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,27afbc3f13869206f1e03a3c4e2fbe1a097fd1e0,stage3/linux_init/v100/70_storage_android_net.inc.c | stage3/linux_init/a90_netservice.c | stage3/linux_init/a90_tcpctl.c,
https://chatgpt.com/codex/cloud/security/findings/61bf8ce0f45481918f8afef5505b3d5e,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Helper manifest can redirect cpustress to unverified code,"v98 adds a helper manifest under the runtime package directory and changes the shell cpustress command to execute the helper path returned by a90_helper_preferred_path(). Manifest entries can overwrite the default a90_cpustress path. During finalization, any regular executable at the manifest path becomes the preferred helper before mode, size, or SHA validation is enforced. SHA-256 values are explicitly marked as unchecked and only produce a warning. As a result, an attacker who can plant or modify the runtime helper package on the SD/cache runtime root can cause a later operator-initiated cpustress command to execute an arbitrary binary as PID1/root. The fallback ramdisk helper should be used unless the runtime helper has been authenticated, or warnings/failures should prevent preferred selection and execution.",high,new,2026-05-04T10:30:04.837442Z,2026-05-03 06:09:56 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,f3498d5bfd05bce4103b8b5aff9e6ff043fb5d2d,stage3/linux_init/a90_helper.c | stage3/linux_init/v98/60_shell_basic_commands.inc.c | stage3/linux_init/a90_run.c,
https://chatgpt.com/codex/cloud/security/findings/8d331492602c8191a8a283e8314f697f,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Boot flag enables persistent unauthenticated tcpctl exposure,"This commit adds boot-time netservice autostart logic in init_v60 that trusts a writable flag file (`/cache/native-init-netservice`) and executable helpers in `/cache/bin`. If the flag is present, PID1 launches `/cache/bin/a90_usbnet` and `/cache/bin/a90_tcpctl listen ...` automatically during boot. Because `a90_tcpctl` listens on `INADDR_ANY` and exposes an unauthenticated `run <absolute-path>` command, any attacker who can set the flag (or replace helpers) can make root command service reappear on every reboot. This is a persistence and attack-surface expansion introduced by v60 boot policy.",high,new,2026-04-28T06:48:12.615301Z,2026-04-26 01:28:53 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,224223a78960cc6f9f86edf7991545a4c196dd63,stage3/linux_init/init_v60.c | stage3/linux_init/a90_tcpctl.c,
https://chatgpt.com/codex/cloud/security/findings/278067d006948191916329f6cf010e27,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,tcpctl_host install race allows root helper replacement,"`command_install()` starts a device-side `netcat -l -p <port> ... dd of=/cache/bin/a90_tcpctl` receiver, then intentionally sleeps before connecting from the host. Because the receiver is unauthenticated and not source-restricted, any actor that can reach the device TCP port can connect first and provide attacker-controlled bytes for the target binary path. The wrapper does compute SHA-256 and raises on mismatch, but it does not roll back/delete the written file. Separately, `start`/`smoke` execute `/cache/bin/a90_tcpctl` via serial `run` without any integrity check, so a poisoned binary can later be launched as root (especially realistic when replacing an already-existing executable file).",high,new,2026-04-28T08:06:37.402346Z,2026-04-26 00:22:55 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,c525cbada5e0efe571f844c5caf73e3a1f459028,scripts/revalidation/tcpctl_host.py,
https://chatgpt.com/codex/cloud/security/findings/5d3c8e5dc184819184af767a0703442d,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Unauthenticated NCM tcpctl allows root command execution,"The newly added `a90_tcpctl` helper listens on `INADDR_ANY` and processes remote commands without any authentication or authorization checks. Its `run` command allows clients to execute any absolute-path program via `execve`, effectively granting root-level remote command execution to any party that can reach the listener (e.g., over USB NCM, and potentially any other active interface). The same unauthenticated channel also permits `shutdown`, enabling trivial service DoS. While this may be acceptable in a tightly controlled lab, it is a high-impact security vulnerability if trust boundaries are violated or networking is misconfigured.",high,new,2026-04-28T09:17:55.445463Z,2026-04-26 00:15:40 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,1e8f6446ed7fecedd5c93b1dd1177ecf1c3a737c,stage3/linux_init/a90_tcpctl.c,
https://chatgpt.com/codex/cloud/security/findings/ab2b5073f1388191a97d38ceaf0ce7b9,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Hardcoded root SSH credentials enabled by automation scripts,"Newly added automation scripts set `PermitRootLogin yes`, keep password auth enabled, and set the root password to a known static value (`root`). Another boot-time script starts `sshd` automatically and even logs connection guidance including the default password. A headless boot script then invokes this chroot SSH startup automatically when the module exists. Any attacker on the same network segment who can reach port 22 can authenticate as root using default credentials if the user has not manually changed it.",high,new,2026-04-27T22:50:57.207425Z,2025-11-18 11:14:47 +0900,aosp@build.local,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,8775fe9dc00c9491470aae177203bf68a3b02234,scripts/utils/create_rootfs.sh | scripts/magisk_module/systemless_chroot/service.d/boot_chroot.sh | scripts/magisk_module/headless_boot_v2/service.sh,
https://chatgpt.com/codex/cloud/security/findings/c8457f7684208191bd5de8b6dc45e470,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Unsafe archive extraction enables host file overwrite,"In `certify_bootimg_archive()`, untrusted `--boot_img_archive` input is extracted with `shutil.unpack_archive()` without a safety filter or path validation. A crafted tar can contain `../` entries (Zip Slip style) and write outside `unpack_dir`. After extraction, the script processes `boot*.img` entries and passes each path to `certify_bootimg()`, which uses `shutil.copy2()` for read/write. If a malicious archive provides symlinked `boot*.img` entries, `copy2()` can follow symlinks and overwrite files outside the temp extraction directory. This creates an arbitrary file write primitive on the host running the tool.",high,new,2026-04-28T11:11:23.623133Z,2025-11-13 20:56:18 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,54cf98250b310814cf09e2e1486e821d7deaf9a2,mkbootimg/gki/certify_bootimg.py,
https://chatgpt.com/codex/cloud/security/findings/546954b382d48191ae18852d95ce2c2c,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Soak validator can execute a90ctl from an untrusted CWD,"The newly added soak validator builds its subprocess command with the literal relative path ""scripts/revalidation/a90ctl.py"". Because subprocess.run is called without cwd, that path is resolved relative to the process current working directory, not relative to native_soak_validate.py or the repository root. If an operator invokes /workspace/A90_5G_rooting/scripts/revalidation/native_soak_validate.py while their current directory is attacker-controlled, an attacker can place scripts/revalidation/a90ctl.py in that directory and have it executed by sys.executable with the operator's host privileges. Other nearby revalidation scripts avoid this by deriving REPO_ROOT from __file__ and passing an absolute A90CTL path. The fix is to compute REPO_ROOT = Path(__file__).resolve().parents[2], use str(REPO_ROOT / ""scripts"" / ""revalidation"" / ""a90ctl.py""), and preferably set cwd=REPO_ROOT in subprocess.run.",medium,new,2026-05-04T10:28:54.160265Z,2026-05-04 00:58:55 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,e959e00df066f1adf429dcda570a51d19e7c9159,scripts/revalidation/native_soak_validate.py,
https://chatgpt.com/codex/cloud/security/findings/71fb260b576881919fe7a2c0cc011ff7,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Diagnostics bundles are written with weak file permissions,"The commit adds a diagnostics bundle path that includes verbose system state plus native log tails, then stores that bundle with mode 0644 in the runtime log directory or /cache. The runtime log directory is created 0755, so the bundle is not protected by directory permissions. The new host collector also runs `diag full` and writes the resulting device diagnostics to a host file with `Path.write_text()` and no explicit 0600 mode or chmod, so on common umask 022 systems the output is world-readable. In a shared lab host or if the SD/cache contents are later exposed to Android/MTP/another operator, lower-privileged users can read diagnostic content such as mount/partition information, service/network state, helper paths, and native-init log tails. These diagnostics should be treated as sensitive and written with 0600 permissions in a 0700 directory, with optional redaction of log tails.",medium,new,2026-05-04T10:31:54.402241Z,2026-05-04 00:09:02 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,53a0bf0612e05c526898ee4c4ad953a30da639da,stage3/linux_init/a90_diag.c | stage3/linux_init/a90_runtime.c | scripts/revalidation/diag_collect.py,
https://chatgpt.com/codex/cloud/security/findings/c671edef4b888191ae9c45de4f3bcdf1,Temmie-Tem/A90_5G_rooting,https://github.com/Temmie-Tem/A90_5G_rooting,Service command bypasses dangerous-command gating,"v101 adds a generic `service` command that dispatches lifecycle operations for autohud, tcpctl/netservice, adbd, and rshell. The service metadata correctly labels tcpctl, adbd, and rshell as dangerous/raw-control services, and the existing direct `netservice` and `rshell` commands are registered with CMD_DANGEROUS. However, the new umbrella `service` command is registered with CMD_NONE. The controller's active-menu safety gate only blocks dangerous operations when the command table flags include CMD_DANGEROUS, so `service start tcpctl`, `service enable tcpctl`, `service start rshell`, and `service enable rshell` are treated as non-dangerous. This bypasses the intended dangerous-command gating and also misreports the operation as non-dangerous in command protocol framing. The impact is limited because an attacker still needs access to the existing PID1 shell/control channel, but the bug creates a lower-friction path to activate services that expose root-control network surfaces, including tcpctl, which listens on INADDR_ANY and supports root `run` commands.",medium,new,2026-05-04T10:30:43.686335Z,2026-05-03 23:50:41 +0900,shs02140@gmail.com,,,false,user-uCP64b5dIkMxZJ7N2kDGpa8n:github-1095371052,3e6f0223bb528c3a141732f40fc9a8e28228bcd8,stage3/linux_init/a90_service.c | stage3/linux_init/v101/80_shell_dispatch.inc.c | stage3/linux_init/a90_controller.c | stage3/linux_init/a90_tcpctl.c,
